SL.No	Title 	Category 	Description 	Link	Class
1	ডাকসুর ভিপি’র দায়িত্ব নিচ্ছেন নুরুল	রাজনীতি	ঢাকা বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদে (ডাকসু) সহসভাপতির (ভিপি) দায়িত্ব নিচ্ছেন নুরুল হক। আজ শুক্রবার দুপুরে বিশ্ববিদ্যালয়ের মধুর ক্যানটিনে সংবাদ সম্মেলনে নুরুল নিজেই দায়িত্ব গ্রহণের বিষয়টি জানান। ১১ মার্চ ডাকসু নির্বাচনে ভিপি পদে বিজয়ী হওয়ার পর নুরুল দায়িত্ব নেবেন কি না, তা নিয়ে বিভিন্ন সময়ে বিভিন্ন বক্তব্য দিয়েছেন। আজ এ ব্যাপারে নিজের অবস্থান পরিষ্কার করলেন কোটা সংস্কার আন্দোলনে নেতৃত্ব দেওয়া সাধারণ ছাত্র অধিকার সংরক্ষণ পরিষদের এই নেতা। কাল শনিবার ডাকসুর নবনির্বাচিত কমিটির প্রথম সভা ও অভিষেক অনুষ্ঠান হওয়ার কথা রয়েছে। নুরুলের সঙ্গে তাঁর প্যানেলের সমাজসেবা সম্পাদক আখতার হোসেনও দায়িত্ব নেবেন।	www.prothomalo.com/bangladesh/article/1584785/ডাকসুর-ভিপি’র-দায়িত্ব-নিচ্ছেন-নুরুল	Real 
2	অস্ত্রোপচারের পর ভালো আছেন কাদের	রাজনীতি	বাংলাদেশ আওয়ামী লীগের সাধারণ সম্পাদক এবং সড়ক পরিবহন ও সেতুমন্ত্রী ওবায়দুল কাদের ভালো আছেন। সফল বাইপাস সার্জারি শেষে তিনি এখন আইসিইউতে রয়েছেন। সিঙ্গাপুরে ওবায়দুল কাদেরের চিকিৎসা সমন্বয়ক বঙ্গবন্ধু শেখ মুজিব মেডিকেল বিশ্ববিদ্যালয়ের পরিচালক এবং নিউরোলজিস্ট প্রফেসর আবু নাসার রিজভী আজ বৃহস্পতিবার বিকেলে মেডিকেল বোর্ডকে উদ্ধৃত করে হাসপাতাল লবিতে উপস্থিত পরিবারের সদস্য ও অন্যান্যদের এ তথ্য জানান।	www.prothomalo.com/bangladesh/article/1584632/অস্ত্রোপচারের-পর-ভালো-আছেন-কাদের	Real 
3	প্রধানমন্ত্রীর সাক্ষাৎ চান আন্দোলনরত শিক্ষকরা	রাজধানী	জাতীয় প্রেসক্লাবের সামনে দুদিন ধরে অবস্থান নিয়ে থাকা নন-এমপিও শিক্ষা প্রতিষ্ঠানের শিক্ষক ও কর্মচারীরা তাদের এমপিওভুক্তির দাবি নিয়ে প্রধানমন্ত্রীর সঙ্গে কথা বলতে চান।	www.ittefaq.com.bd/capital/39030/প্রধানমন্ত্রীর-সাক্ষাৎ-চান-আন্দোলনরত-শিক্ষকরা	Real
4	অফিসকক্ষ বুঝে নিতে চিঠি, দায়িত্ব নিচ্ছেন ভিপি নুর	শিক্ষাঙ্গন	প্রায় তিন দশক পর ডাকসু নির্বাচনের দরজা খুললেও নির্বাচিত সবাই দায়িত্ব নেবেন কিনা তা নিয়ে ছিল ধুম্রজাল। অবশেষে মিললো আলোর দেখা। ঢাকা বিশ্ববিদ্যালয় কেন্দ্রীয় ছাত্র সংসদ-ডাকসুর ভিপি হিসেবে দায়িত্ব নিচ্ছেন নুরুল হক নুর। ইতিমধ্যে ডাকসু ভবনে অফিসকক্ষ বুঝে পেতে কোষাধ্যক্ষকে চিঠি দিয়েছেন তিনি। নুরের এই সিদ্ধান্তকে স্বাগত জানিয়েছে ডাকসুর নির্বাচিতদের মধ্যে সংখ্যাগরিষ্ঠ ছাত্রলীগ। কোটা সংস্কার আন্দোলনে নেতৃত্ব দেওয়া বাংলাদেশ সাধারণ ছাত্র অধিকার সংরক্ষণ পরিষদ শুক্রবার এ সিদ্ধান্ত নেয়।​	www.ittefaq.com.bd/education/39020/অফিসকক্ষ-বুঝে-নিতে-চিঠি-দায়িত্ব-নিচ্ছেন-ভিপি-নুর	Real
5	ঐক্যফ্রন্ট থেকে নির্বাচিতরাও শপথ নেবেন: সুলতান মনসুর	রাজনীতি	ঐক্যফ্রন্ট থেকে বহিষ্কৃত ডাকসুর সাবেক ভিপি ও ছাত্রলীগের সাবেক সভাপতি সুলতান মোহাম্মদ মনসুর আহমদ এমপি বলেছেন, যারা ঐক্যফ্রন্টের সংসদ সদস্য নির্বাচিত হয়েছেন তারাও আগামীতে শপথ গ্রহণ করবেন। ঐক্যফ্রন্টের জাতীয় ঐক্য প্রক্রিয়ার আমি একজন প্রতিনিধি। আমি বাংলাদেশ আওয়ামী লীগ থেকে অন্য কোনো রাজনৈতিক দলে যোগদান করিনি। আওয়ামী লীগও আমাকে বহিষ্কার করেনি। আমার শেষ অবস্থান ছিলো আওয়ামী লীগের সাবেক সাংগঠনিক সম্পাদক।	www.ittefaq.com.bd/politics/39038/ঐক্যফ্রন্ট-থেকে-নির্বাচিতরাও-শপথ-নেবেন-সুলতান-মনসুর	Real
6	নিউজিল্যান্ড ২ মিনিট নীরব, হিজাবে হাজির সব নারী	আন্তর্জাতিক	নিউজিল্যান্ডের ক্রাইস্টচার্চে দুটি মসজিদে হামলায় নিহত ব্যক্তিদের স্মরণে আজ শুক্রবার দেশটি জুড়ে দুই মিনিটের নীরবতা পালন করা হয়েছে। হামলার স্থান আল নুর মসজিদের কাছের হ্যাগলি পার্কে শোক প্রকাশে আজ হাজারো মানুষ সমবেত হন। প্রধানমন্ত্রী জেসিন্ডা আহডার্ন এতো যোগ দেন। রাষ্ট্রীয় রেডিও, টেলিভিশনে আজান প্রচারের পর দেশটি জুড়ে নীরবতা পালন করা হয়। এ ছাড়া মুসলিমদের সঙ্গে সংহতি প্রকাশ করে আজ নিউজিল্যান্ডের অন্য ধর্মের নারীরা মাথায় হিজাব পরেছেন।	www.prothomalo.com/international/article/1584680/নিউজিল্যান্ড-২-মিনিট-নীরব-হিজাবে-হাজির-সব-নারী	Real
7	সাংসদ মেননের গাড়িতে বাসের ধাক্কা	দুর্ঘটনা	সাবেক মন্ত্রী, বাংলাদেশের ওয়ার্কার্স পার্টির সভাপতি ও বর্তমান সাংসদ রাশেদ খান মেননের ব্যক্তিগত গাড়িকে ধাক্কা দিয়েছে বলাকা পরিবহনের একটি বাস। আজ শুক্রবার সকালে রাজধানীর মহাখালী উড়াল সেতু সংলগ্ন সড়কে ঘটনাটি ঘটেছে। এ ঘটনায় বাসসহ চালক ও তাঁর সহকারীকে গ্রেপ্তার করা হয়েছে। চালক আমানুল্লাহর বাস চালানোর লাইসেন্স এবং বাসটির ফিটনেস সনদ ছিল না বলে জানান রাশেদ খান মেনন ও বনানী থানার কর্মকর্তারা।	www.prothomalo.com/bangladesh/article/1584791/সাংসদ-মেননের-গাড়িতে-বাসের-ধাক্কা	Real
8	খরচ বাড়ছে ১১১ কোটি টাকা	অর্থনীতি	তিন বছরের মাথায় আমদানি–রপ্তানি পণ্যবাহী কনটেইনার পরিচালন মাশুল বাড়ানোর ঘোষণা দিয়েছে বেসরকারি কনটেইনার ডিপো পরিচালনাকারী প্রতিষ্ঠানগুলো। ডিপোর মালিকেরা বলছেন, ১ এপ্রিল থেকে এই বর্ধিত মাশুল কার্যকর করা হবে। বাড়তি মাশুল কার্যকর হলে তাতে আমদানি–রপ্তানিতে বছরে খরচ বাড়বে ১১১ কোটি টাকার বেশি।	www.prothomalo.com/economy/article/1584781/খরচ-বাড়ছে-১১১-কোটি-টাকা	Real
9	মুরগির দাম কমেনি, বেড়েছে ডিমের	অর্থনীতি	রাজধানীর বাজারে মুরগির বেড়ে যাওয়া দাম আর কমছে না। গত সপ্তাহের মতো এ সপ্তাহেও প্রতি কেজি ব্রয়লার মুরগি ১৬৫-১৭০ টাকা দরে বিক্রি হচ্ছে। নতুন করে বেড়েছে ডিমের দাম।	www.prothomalo.com/economy/article/1584692/মুরগির-দাম-কমেনি-বেড়েছে-ডিমের	Real
10	পর্যটন মেলায় নানা ছাড়	অর্থনীতি	ঢাকায় শুরু হয়েছে তিন দিনব্যাপী আন্তর্জাতিক পর্যটন মেলা। ভ্রমণবিষয়ক পাক্ষিক দি বাংলাদেশ মনিটর রাজধানীর প্যান প্যাসিফিক সোনারগাঁও হোটেলে এ মেলার আয়োজন করেছে। ‘নভোএয়ার ঢাকা ট্রাভেল মার্ট-২০১৯’ শীর্ষক এবারের আয়োজনটি করা হয়েছে ষোড়শ বারের মতো।	www.prothomalo.com/economy/article/1584710/পর্যটন-মেলায়-নানা-ছাড়	Real
